Name,EntityID
acceptance threshold,AcceptanceThreshold
AcceptanceThreshold,AcceptanceThreshold
accuracy,Accuracy
Accuracy,Accuracy
anomaly detector,AnomalyDetector
AnomalyDetector,AnomalyDetector
batch evaluation speed,BatchEvaluationSpeed
BatchEvaluationSpeed,BatchEvaluationSpeed
batch evaluation time,BatchEvaluationTime
BatchEvaluationTime,BatchEvaluationTime
calibrated,Calibrated
Calibrated,Calibrated
classes,Classes
Classes,Classes
class number,ClassNumber
ClassNumber,ClassNumber
class priors,ClassPriors
ClassPriors,ClassPriors
evaluation time,EvaluationTime
EvaluationTime,EvaluationTime
example number,ExampleNumber
ExampleNumber,ExampleNumber
feature extractor,FeatureExtractor
FeatureExtractor,FeatureExtractor
feature names,FeatureNames
FeatureNames,FeatureNames
feature number,FeatureNumber
FeatureNumber,FeatureNumber
feature types,FeatureTypes
FeatureTypes,FeatureTypes
function memory,FunctionMemory
FunctionMemory,FunctionMemory
function properties,FunctionProperties
FunctionProperties,FunctionProperties
indeterminate threshold,IndeterminateThreshold
IndeterminateThreshold,IndeterminateThreshold
learning curve,LearningCurve
LearningCurve,LearningCurve
max training memory,MaxTrainingMemory
MaxTrainingMemory,MaxTrainingMemory
mean cross entropy,MeanCrossEntropy
MeanCrossEntropy,MeanCrossEntropy
method,Method
Method,Method
method description,MethodDescription
MethodDescription,MethodDescription
method option,MethodOption
MethodOption,MethodOption
method parameters,MethodParameters
MethodParameters,MethodParameters
missing synthesizer,MissingSynthesizer
MissingSynthesizer,MissingSynthesizer
performance goal,PerformanceGoal
PerformanceGoal,PerformanceGoal
properties,Properties
Properties,Properties
training class priors,TrainingClassPriors
TrainingClassPriors,TrainingClassPriors
training time,TrainingTime
TrainingTime,TrainingTime
utility function,UtilityFunction
UtilityFunction,UtilityFunction
