Name,EntityID
точност,ACC
акуратност,ACC
площ под кривата рпх,AUROC
площ под рпх кривата,AUROC
е1,F1
ф1 резултат,F1
пропорция на отрицателно откриване,FDR
пропорция на фалшиво откриване,FDR
фалшива отрицателна пропорция,FNR
пропорция на фалшив пропуск,FOR
пропорция на фалшиво идентифициране,FPR
пропорция на фалшиво обозначаване,FPR
положителна прогнозна стойност,PPV
положителна прогнозна стойност,PPV
точност,PPV
отзоваване,TPR
чувствителност,TNR
специфичност,TNR
пропорция на отрицателно идентифициране,TNR
пропорция на фалшиво идентифициране,TNR
пропорция на отрицателно обозначаване,TNR
пропорция на фалшиво обозначаване,TNR
пропорция на истинско идентифициране,TPR
пропорция на фалшиво идентифициране,TPR
пропорция на истинско обозначаване,TPR
пропорция на фалшиво обозначаване,TPR
истинско позитивно число,TPR
